player_id;surname;name;position;club;price;last_season_in_premier_league
1086;Jacob;Bruun Larsen;Midfielder;Burnley;5.5;Yes
1087;Enock;Boateng;Midfielder;Burnley;5.0;Yes
1088;Darko;Churlinov;Midfielder;Burnley;5.0;Yes
1089;Josh;Cullen;Midfielder;Burnley;5.0;No
1090;Marcus;Edwards;Midfielder;Burnley;5.0;No
1091;Hannibal;Hannibal;Midfielder;Burnley;5.0;Yes
1092;Luca;Koleosho;Midfielder;Burnley;5.0;No
1093;Josh;Laurent;Midfielder;Burnley;5.0;No
1094;Loum;Tchaouna;Midfielder;Burnley;5.0;Yes
1095;Aaron;Ramsey;Midfielder;Burnley;4.5;No
1096;Oluwaseun;Adewumi;Midfielder;Burnley;4.5;Yes
1097;Jaydon;Banel;Midfielder;Burnley;4.5;Yes
1098;Mike;Tresor;Midfielder;Burnley;4.5;Yes
1099;Zian;Flemming;Forward;Burnley;5.5;No
1100;Zeki;Amdouni;Forward;Burnley;5.0;No
1101;Lyle;Foster;Forward;Burnley;5.0;No
1102;Ashley;Barnes;Forward;Burnley;4.5;No
1103;Michael;Obafemi;Forward;Burnley;4.5;No
1104;;Neto;Goalkeeper;Bournemouth;4.5;Yes
1105;Dorde;Petrovic;Goalkeeper;Bournemouth;4.5;No
1106;Will;Dennis;Goalkeeper;Bournemouth;4.0;Yes
1107;Callan;McKenna;Goalkeeper;Bournemouth;4.0;Yes
1108;Alex;Paulsen;Goalkeeper;Bournemouth;4.0;Yes
1109;Illia;Zabarnyi;Defender;Bournemouth;5.0;Yes
1110;Marcos;Senesi;Defender;Bournemouth;4.5;Yes
1111;Adam;Smith;Defender;Bournemouth;4.5;Yes
1112;Adrien;Truffert;Defender;Bournemouth;4.5;No
1113;Matai;Akinmboni;Defender;Bournemouth;4.0;Yes
1114;Owen;Bevan;Defender;Bournemouth;4.0;Yes
1115;James;Hill;Defender;Bournemouth;4.0;Yes
1116;Julian;Araujo;Defender;Bournemouth;4.0;Yes
1117;Chris;Mepham;Defender;Bournemouth;4.0;No
1118;Julio;Soler;Defender;Bournemouth;4.0;Yes
1119;Justin;Kluivert;Midfielder;Bournemouth;7.0;Yes
1120;Antoine;Semenyo;Midfielder;Bournemouth;7.0;Yes
1121;Dango;Ouattara;Midfielder;Bournemouth;6.0;Yes
1122;Marcus;Tavernier;Midfielder;Bournemouth;5.5;Yes
1123;Tyler;Adams;Midfielder;Bournemouth;5.0;Yes
1124;David;Brooks;Midfielder;Bournemouth;5.0;Yes
1125;Ryan;Christie;Midfielder;Bournemouth;5.0;Yes
1126;Lewis;Cook;Midfielder;Bournemouth;5.0;Yes
1127;Philip;Philip;Midfielder;Bournemouth;5.0;Yes
